GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,RCPTOTI,ESTAB,ECTGE20,EMP,PAYANN,EMPAVPW,HOURS,PAYANPW,VALADD,CSTMTOT,RCPTOT,CEXTOT
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Percent estimated,Number of establishments,Establishments with 20 employees or more,Number of employees,"Annual payroll ($1,000)",Production workers avg per year,"Production workers hours (1,000)","Production workers, nonleased employees wages ($1,000)","Value added ($1,000)","Total cost of materials ($1,000)","Total value of shipments ($1,000)","Total capital expenditures (new and used) ($1,000)"
3100000US29740,29740,"Las Cruces, NM Metro Area",31-33,Manufacturing,2007,2,141,26,2349,84201,1785,3529,46979,283383,648761,931885,21424
3100000US29820,29820,"Las Vegas-Paradise, NV Metro Area",31-33,Manufacturing,2007,1,1096,271,26478,1086288,18967,36402,632529,D,D,7180673,D
3100000US29940,29940,"Lawrence, KS Metro Area",31-33,Manufacturing,2007,0,88,29,3848,142990,2356,4650,82450,384060,598094,976469,37688
3100000US30020,30020,"Lawton, OK Metro Area",31-33,Manufacturing,2007,0,48,13,3549,171031,3084,6397,142678,489217,744751,1232438,27514
3100000US30140,30140,"Lebanon, PA Metro Area",31-33,Manufacturing,2007,1,213,81,9655,363340,7441,15309,250139,1199637,1205849,2393561,80564
3100000US30300,30300,"Lewiston, ID-WA Metro Area",31-33,Manufacturing,2007,0,62,14,3312,166313,2760,5962,122060,305749,661772,964589,D
3100000US30340,30340,"Lewiston-Auburn, ME Metro Area",31-33,Manufacturing,2007,1,158,54,6945,300224,4899,10016,187888,1327142,861777,2186156,101984
3100000US30460,30460,"Lexington-Fayette, KY Metro Area",31-33,Manufacturing,2007,0,459,166,30392,1502366,23302,48284,1122355,5652501,12294025,17925543,332371
3100000US30620,30620,"Lima, OH Metro Area",31-33,Manufacturing,2007,0,136,55,8661,475863,6807,13846,358490,5011521,5158162,10009041,265928
3100000US30700,30700,"Lincoln, NE Metro Area",31-33,Manufacturing,2007,2,272,97,14390,577387,10287,20722,356146,2190478,2337324,4541168,135130
3100000US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",31-33,Manufacturing,2007,1,615,175,24783,1033798,17551,36421,629757,4253638,4755013,8828220,201919
3100000US30860,30860,"Logan, UT-ID Metro Area",31-33,Manufacturing,2007,1,234,58,10810,420523,7846,15949,249233,1267947,2509033,3685261,D
3100000US30980,30980,"Longview, TX Metro Area",31-33,Manufacturing,2007,1,250,96,12506,522293,9600,20213,352516,1212924,3432716,4642778,172208
3100000US31020,31020,"Longview, WA Metro Area",31-33,Manufacturing,2007,0,128,49,7001,356697,5194,10206,236467,1173626,1775031,2914723,110336
3100000US31100,31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",31-33,Manufacturing,2007,1,20509,5632,628771,29161465,408348,809248,13939331,99893647,102956662,202475647,5081996
3100000US31140,31140,"Louisville-Jefferson County, KY-IN Metro Area",31-33,Manufacturing,2007,0,1400,581,75811,3457343,57594,112350,2415175,12952254,21617637,34623829,683206
3100000US31180,31180,"Lubbock, TX Metro Area",31-33,Manufacturing,2007,1,258,67,i,204450,D,8419,D,D,D,D,D
3100000US31340,31340,"Lynchburg, VA Metro Area",31-33,Manufacturing,2007,1,302,98,18731,897983,12778,26651,521267,3769010,2242649,5973939,134956
3100000US31420,31420,"Macon, GA Metro Area",31-33,Manufacturing,2007,0,187,48,6403,266191,4922,10499,181745,940465,913051,1838236,65226
3100000US31460,31460,"Madera, CA Metro Area",31-33,Manufacturing,2007,1,116,42,4143,170256,3249,6687,117842,668742,734347,1452945,36593
3100000US31540,31540,"Madison, WI Metro Area",31-33,Manufacturing,2007,1,727,258,33367,1525550,21863,43046,802927,4324982,4847232,9107721,406627
3100000US31700,31700,"Manchester-Nashua, NH Metro Area",31-33,Manufacturing,2007,1,633,237,31243,1944428,17436,35925,653655,4002522,3912311,7707601,278042
3100000US31900,31900,"Mansfield, OH Metro Area",31-33,Manufacturing,2007,0,192,79,11080,555286,8526,16902,389615,1569928,2007145,3563738,78521
3100000US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",31-33,Manufacturing,2007,2,276,65,6007,183510,4601,9353,119428,663223,843211,1503200,38800
3100000US32780,32780,"Medford, OR Metro Area",31-33,Manufacturing,2007,3,324,68,6115,228819,4605,8911,157964,997898,1033057,2037469,41732
3100000US32820,32820,"Memphis, TN-MS-AR Metro Area",31-33,Manufacturing,2007,0,1017,364,43692,1988558,29364,61925,1136774,8185524,14444500,22469567,406631
3100000US32900,32900,"Merced, CA Metro Area",31-33,Manufacturing,2007,3,122,47,9208,348608,7660,15654,256626,1626418,2368585,3954248,156840
3100000US33100,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",31-33,Manufacturing,2007,2,5041,820,83698,3370058,55161,108051,1696448,12129710,8563634,20748540,648324
3100000US33140,33140,"Michigan City-La Porte, IN Metro Area",31-33,Manufacturing,2007,1,184,83,8808,363883,6475,13708,222653,1166830,1197785,2364020,88824
3100000US33260,33260,"Midland, TX Metro Area",31-33,Manufacturing,2007,2,140,26,2366,95218,1665,3331,60457,339748,212304,533829,25575
3100000US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",31-33,Manufacturing,2007,1,2740,1069,130675,6590507,86868,174523,3412865,21498844,19961815,41284158,1108718
3100000US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",31-33,Manufacturing,2007,1,4997,1650,200650,10419993,123659,246779,5011939,31999118,31043859,63158157,2003119
3100000US33540,33540,"Missoula, MT Metro Area",31-33,Manufacturing,2007,1,112,22,2159,93778,1622,3322,65676,303628,368942,674892,14350
3100000US33660,33660,"Mobile, AL Metro Area",31-33,Manufacturing,2007,1,385,126,16776,840921,11758,24188,536892,5285078,7323881,12407151,302404
3100000US33700,33700,"Modesto, CA Metro Area",31-33,Manufacturing,2007,0,443,170,24127,1032864,17536,36199,609716,4722537,4922827,9475984,229905
3100000US33740,33740,"Monroe, LA Metro Area",31-33,Manufacturing,2007,1,146,53,6927,D,D,11281,D,D,D,D,D
3100000US33780,33780,"Monroe, MI Metro Area",31-33,Manufacturing,2007,0,143,60,8555,440553,6572,13355,309491,D,D,3502955,105834
3100000US33860,33860,"Montgomery, AL Metro Area",31-33,Manufacturing,2007,0,318,120,18749,D,13811,29368,D,D,D,D,D
3100000US34060,34060,"Morgantown, WV Metro Area",31-33,Manufacturing,2007,0,98,26,3918,173747,2523,4751,91428,D,D,1480910,65098
3100000US34100,34100,"Morristown, TN Metro Area",31-33,Manufacturing,2007,1,194,92,16517,566398,11304,23907,351431,1711678,2554213,4248242,165596
3100000US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",31-33,Manufacturing,2007,0,205,56,6387,294534,5238,10555,212713,D,D,8918220,94227
3100000US34620,34620,"Muncie, IN Metro Area",31-33,Manufacturing,2007,1,150,59,5268,232717,4149,8383,160538,552798,729829,1280555,54579
3100000US34740,34740,"Muskegon-Norton Shores, MI Metro Area",31-33,Manufacturing,2007,1,290,106,13271,609073,9542,19804,377965,1991895,1688613,3675844,131763
3100000US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",31-33,Manufacturing,2007,0,168,35,4103,166767,2565,5621,83306,505446,384642,894847,31859
3100000US34900,34900,"Napa, CA Metro Area",31-33,Manufacturing,2007,1,436,148,13165,632437,6629,12915,256345,2842403,1797484,4529328,298025
3100000US34940,34940,"Naples-Marco Island, FL Metro Area",31-33,Manufacturing,2007,1,228,34,3035,109463,2172,4198,69145,344034,269555,606697,22923
3100000US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",31-33,Manufacturing,2007,0,1583,529,74547,3135732,54541,108593,2026291,D,D,D,907365
3100000US35300,35300,"New Haven-Milford, CT Metro Area",31-33,Manufacturing,2007,1,1289,414,40188,1976864,26408,52932,1002113,5086981,5436440,10493031,251025
3100000US35380,35380,"New Orleans-Metairie-Kenner, LA Metro Area",31-33,Manufacturing,2007,0,764,221,35267,1939124,24263,48248,1149966,D,D,D,2296525
3100000US35620,35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",31-33,Manufacturing,2007,2,18482,4445,449307,21711471,288168,571991,10298542,80411100,64907661,144942472,3476049
3100000US35660,35660,"Niles-Benton Harbor, MI Metro Area",31-33,Manufacturing,2007,2,332,111,10831,474710,7848,15957,282934,1132702,1164478,2298338,82472
3100000US35980,35980,"Norwich-New London, CT Metro Area",31-33,Manufacturing,2007,0,201,52,j,848758,D,13329,D,D,D,D,98567
3100000US36100,36100,"Ocala, FL Metro Area",31-33,Manufacturing,2007,2,221,73,8904,320890,6398,12740,190275,933426,911383,1841509,59656
3100000US36140,36140,"Ocean City, NJ Metro Area",31-33,Manufacturing,2007,2,81,8,662,18874,D,794,10912,D,D,D,2890
3100000US36220,36220,"Odessa, TX Metro Area",31-33,Manufacturing,2007,1,240,63,4814,221952,3504,7007,140797,907767,1149558,2049699,88386
3100000US36260,36260,"Ogden-Clearfield, UT Metro Area",31-33,Manufacturing,2007,0,529,162,22140,909751,15851,31723,D,3655874,5491657,9104335,274021
