table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 1. Annual Estimates of the Population of Metropolitan and Micropolitan Statistical Areas: April 1, 2000 to July 1, 2007",,,,,,,,,,,,
"CBSA
Code","Metro
Division
Code",Geographic area,Population estimates,,,,,,,,"April 1, 2000",
32820,,"Memphis, TN-MS-AR","1,280,533","1,271,720","1,254,491","1,243,792","1,234,305","1,224,260","1,215,330","1,208,285","1,205,194","1,205,204"
32900,,"Merced, CA","245,514","242,229","238,777","234,100","229,248","223,631","217,614","211,600","210,554","210,554"
33100,,"Miami-Fort Lauderdale-Pompano Beach, FL","5,413,212","5,415,440","5,386,319","5,321,840","5,252,569","5,195,110","5,111,065","5,027,723","5,007,988","5,007,564"
33100,22744,".Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","1,759,591","1,772,745","1,770,707","1,745,691","1,722,971","1,701,763","1,669,678","1,632,291","1,623,018","1,623,018"
33100,33124,".Miami-Miami Beach-Kendall, FL","2,387,170","2,376,343","2,356,378","2,338,382","2,322,093","2,308,355","2,284,083","2,259,863","2,253,779","2,253,362"
33100,48424,".West Palm Beach-Boca Raton-Boynton Beach, FL","1,266,451","1,266,352","1,259,234","1,237,767","1,207,505","1,184,992","1,157,304","1,135,569","1,131,191","1,131,184"
33140,,"Michigan City-La Porte, IN","109,787","109,278","109,255","108,670","108,804","109,468","110,067","110,162","110,106","110,106"
33260,,"Midland, TX","126,408","123,561","120,628","119,249","118,014","116,987","115,782","115,478","116,009","116,009"
33340,,"Milwaukee-Waukesha-West Allis, WI","1,544,398","1,540,525","1,535,032","1,532,284","1,526,749","1,519,705","1,511,261","1,502,338","1,500,744","1,500,741"
33460,,"Minneapolis-St. Paul-Bloomington, MN-WI","3,208,212","3,172,012","3,138,181","3,111,182","3,081,655","3,055,619","3,025,001","2,981,779","2,968,817","2,968,806"
33540,,"Missoula, MT","105,650","104,068","102,239","100,884","99,907","98,957","97,409","96,168","95,802","95,802"
33660,,"Mobile, AL","404,406","402,098","398,343","397,531","397,696","398,410","400,070","400,036","399,843","399,843"
33700,,"Modesto, CA","511,263","506,868","501,084","493,506","487,907","478,095","464,169","449,740","446,994","446,997"
33740,,"Monroe, LA","172,275","172,579","171,030","171,228","170,715","170,020","169,423","170,051","170,053","170,053"
33780,,"Monroe, MI","153,608","153,320","152,367","151,144","149,723","148,616","147,651","146,409","145,945","145,945"
33860,,"Montgomery, AL","365,962","362,883","356,433","353,504","351,842","350,469","348,390","347,016","346,526","346,528"
34060,,"Morgantown, WV","117,770","116,970","116,102","115,018","114,183","112,862","111,974","111,204","111,200","111,200"
34100,,"Morristown, TN","134,596","132,168","130,039","128,248","126,879","125,252","124,800","123,577","123,081","123,081"
34580,,"Mount Vernon-Anacortes, WA","116,397","114,495","112,223","110,292","108,356","106,233","104,883","103,478","102,979","102,979"
34620,,"Muncie, IN","115,419","115,680","116,719","117,795","119,016","119,402","120,005","118,734","118,769","118,769"
34740,,"Muskegon-Norton Shores, MI","174,386","174,240","174,083","173,187","172,569","171,872","171,263","170,488","170,200","170,200"
34820,,"Myrtle Beach-Conway-North Myrtle Beach, SC","249,925","239,754","228,578","218,149","211,020","206,243","201,882","198,122","196,660","196,629"
34900,,"Napa, CA","132,565","131,430","130,519","130,551","130,212","128,858","126,857","124,564","124,279","124,279"
34940,,"Naples-Marco Island, FL","315,839","313,167","306,773","295,707","285,153","275,589","264,336","254,082","251,377","251,377"
34980,,"Nashville-Davidson--Murfreesboro--Franklin, TN","1,521,437","1,486,695","1,450,367","1,416,765","1,387,170","1,364,275","1,343,524","1,317,592","1,311,789","1,311,789"
35300,,"New Haven-Milford, CT","845,494","843,441","841,779","840,191","838,485","833,105","828,747","825,032","824,008","824,008"
35380,,"New Orleans-Metairie-Kenner, LA","1,030,363","990,478","1,309,954","1,311,830","1,309,943","1,310,048","1,310,340","1,315,587","1,316,512","1,316,510"
35620,,"New York-Northern New Jersey-Long Island, NY-NJ-PA","18,815,988","18,782,715","18,757,254","18,731,400","18,666,682","18,575,354","18,486,752","18,356,506","18,323,382","18,323,002"
35620,20764,".Edison, NJ","2,319,704","2,306,255","2,300,459","2,285,798","2,266,724","2,243,025","2,211,668","2,182,665","2,173,869","2,173,869"
35620,35004,".Nassau-Suffolk, NY","2,759,762","2,769,539","2,782,622","2,794,062","2,792,846","2,785,209","2,773,390","2,759,937","2,753,913","2,753,913"
35620,35084,".Newark-Union, NJ-PA","2,128,679","2,128,134","2,129,299","2,131,642","2,130,015","2,123,614","2,112,395","2,100,848","2,097,519","2,098,843"
35620,35644,".New York-White Plains-Wayne, NY-NJ","11,607,843","11,578,787","11,544,874","11,519,898","11,477,097","11,423,506","11,389,299","11,313,056","11,298,081","11,296,377"
35660,,"Niles-Benton Harbor, MI","159,589","159,547","160,282","161,276","161,517","161,560","161,684","162,549","162,455","162,453"
35980,,"Norwich-New London, CT","267,376","268,206","265,504","266,918","265,329","263,070","260,956","259,549","259,106","259,088"
36100,,"Ocala, FL","324,857","314,312","301,805","289,904","279,235","271,340","264,441","260,284","258,916","258,916"
36140,,"Ocean City, NJ","96,422","97,613","98,631","99,980","101,377","101,449","101,877","102,313","102,326","102,326"
36220,,"Odessa, TX","129,570","126,649","124,522","123,497","122,195","121,881","120,633","120,673","121,123","121,123"
36260,,"Ogden-Clearfield, UT","518,349","503,820","491,882","481,446","471,485","461,981","452,819","444,886","442,656","442,656"
36420,,"Oklahoma City, OK","1,192,989","1,175,937","1,156,578","1,142,039","1,132,374","1,120,795","1,107,940","1,097,901","1,095,421","1,095,421"
36500,,"Olympia, WA","238,555","233,167","227,617","223,536","220,066","216,594","212,519","208,300","207,355","207,355"
36540,,"Omaha-Council Bluffs, NE-IA","829,890","820,747","811,537","801,305","791,089","782,765","775,512","769,116","767,140","767,041"
36740,,"Orlando-Kissimmee, FL","2,032,496","1,998,347","1,940,324","1,867,472","1,804,307","1,757,576","1,709,049","1,656,924","1,644,563","1,644,561"
36780,,"Oshkosh-Neenah, WI","162,154","161,093","159,976","158,956","158,556","158,685","158,109","157,086","156,763","156,763"
36980,,"Owensboro, KY","112,104","111,386","110,841","110,499","110,330","109,989","109,867","110,008","109,875","109,875"
37100,,"Oxnard-Thousand Oaks-Ventura, CA","798,364","794,005","790,868","791,654","786,722","778,497","766,179","756,504","753,195","753,197"
37340,,"Palm Bay-Melbourne-Titusville, FL","536,161","531,959","526,805","516,503","503,436","494,593","485,966","477,723","476,230","476,230"
37380,,"Palm Coast, FL","88,397","82,433","75,426","68,239","62,151","57,434","53,713","50,557","49,832","49,832"
37460,,"Panama City-Lynn Haven, FL","163,984","164,184","161,599","157,857","154,726","152,224","149,813","148,259","148,218","148,217"
37620,,"Parkersburg-Marietta-Vienna, WV-OH","160,656","161,024","161,746","162,425","162,709","163,378","163,863","164,452","164,624","164,624"
37700,,"Pascagoula, MS","152,035","149,666","155,235","154,563","153,039","152,327","152,023","151,039","150,564","150,564"
37860,,"Pensacola-Ferry Pass-Brent, FL","453,451","451,190","445,042","440,210","433,681","427,919","420,413","413,179","412,153","412,153"
37900,,"Peoria, IL","371,206","368,868","367,292","366,213","364,949","365,598","365,206","366,609","366,875","366,899"
37980,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","5,827,962","5,810,834","5,792,786","5,777,413","5,753,566","5,732,438","5,709,152","5,693,232","5,687,145","5,687,147"
37980,15804,".Camden, NJ","1,246,339","1,242,376","1,235,686","1,229,945","1,219,956","1,208,577","1,195,814","1,188,440","1,186,996","1,186,999"
37980,37964,".Philadelphia, PA","3,887,694","3,879,207","3,873,792","3,870,442","3,863,296","3,859,756","3,855,162","3,852,215","3,849,644","3,849,647"
37980,48864,".Wilmington, DE-MD-NJ","693,929","689,251","683,308","677,026","670,314","664,105","658,176","652,577","650,505","650,501"
38060,,"Phoenix-Mesa-Scottsdale, AZ","4,179,427","4,046,914","3,883,892","3,724,003","3,600,360","3,497,668","3,389,019","3,279,151","3,251,876","3,251,876"
38220,,"Pine Bluff, AR","101,484","102,823","103,739","104,594","105,468","106,035","106,514","107,240","107,345","107,341"
38300,,"Pittsburgh, PA","2,355,712","2,363,214","2,374,937","2,390,106","2,401,781","2,410,093","2,418,782","2,429,079","2,431,087","2,431,087"
38340,,"Pittsfield, MA","129,798","130,219","131,020","131,840","132,522","133,005","133,710","134,797","134,953","134,953"
38540,,"Pocatello, ID","87,609","87,139","86,196","85,796","84,750","84,685","84,193","83,179","83,103","83,103"
38860,,"Portland-South Portland-Biddeford, ME","513,102","511,850","511,613","509,636","506,226","501,018","495,457","489,350","487,566","487,568"
38900,,"Portland-Vancouver-Beaverton, OR-WA","2,175,113","2,133,775","2,092,906","2,059,861","2,039,111","2,014,037","1,977,059","1,936,294","1,927,881","1,927,881"
38940,,"Port St. Lucie, FL","400,121","388,637","376,328","362,521","347,311","336,115","326,943","320,595","319,426","319,426"
39100,,"Poughkeepsie-Newburgh-Middletown, NY","669,915","666,302","662,948","659,240","652,404","642,199","633,292","623,838","621,517","621,517"
39140,,"Prescott, AZ","212,635","206,738","197,680","189,661","183,496","178,467","173,316","168,885","167,517","167,517"
39300,,"Providence-New Bedford-Fall River, RI-MA","1,600,856","1,604,342","1,610,435","1,617,899","1,617,601","1,609,616","1,596,866","1,586,886","1,582,997","1,582,997"
39340,,"Provo-Orem, UT","493,306","480,881","463,916","442,901","418,765","406,172","396,339","379,935","376,778","376,774"
39380,,"Pueblo, CO","154,538","152,081","150,028","148,928","148,150","146,825","144,175","141,840","141,472","141,472"
39460,,"Punta Gorda, FL","152,814","153,047","153,329","156,213","152,078","149,427","145,960","142,249","141,627","141,627"
39540,,"Racine, WI","195,099","194,625","193,841","192,349","191,209","190,172","189,269","188,981","188,831","188,831"
39580,,"Raleigh-Cary, NC","1,047,629","1,000,577","955,730","918,860","890,797","864,407","835,996","804,508","797,006","797,071"
39660,,"Rapid City, SD","120,279","119,124","118,131","117,628","115,938","115,285","114,191","113,011","112,818","112,818"
39740,,"Reading, PA","401,955","398,749","393,760","389,196","384,551","380,651","377,157","374,518","373,638","373,638"
39820,,"Redding, CA","179,427","178,493","177,696","176,588","174,492","171,193","166,989","163,787","163,256","163,256"
39900,,"Reno-Sparks, NV","410,272","402,245","394,823","385,150","374,841","365,352","355,203","344,810","342,885","342,885"
40060,,"Richmond, VA","1,212,977","1,195,263","1,174,424","1,155,202","1,139,525","1,125,457","1,111,032","1,100,200","1,096,955","1,096,957"
40140,,"Riverside-San Bernardino-Ontario, CA","4,081,371","3,994,711","3,880,440","3,760,531","3,622,604","3,490,698","3,379,383","3,278,271","3,254,817","3,254,821"
40220,,"Roanoke, VA","296,532","294,454","292,107","290,429","289,523","288,860","288,669","288,471","288,254","288,309"
40340,,"Rochester, MN","181,082","178,877","176,340","174,382","171,993","169,598","166,711","164,405","163,618","163,618"
40380,,"Rochester, NY","1,030,495","1,030,991","1,032,957","1,036,879","1,037,805","1,038,669","1,038,255","1,038,405","1,037,833","1,037,831"
40420,,"Rockford, IL","352,290","345,375","339,716","335,314","331,614","327,282","324,042","321,028","320,204","320,204"
40580,,"Rocky Mount, NC","145,596","144,562","143,910","143,750","143,454","143,312","143,269","142,989","142,991","143,026"
40660,,"Rome, GA","95,618","95,076","94,243","93,887","93,424","92,666","91,184","90,808","90,565","90,565"
40900,,"Sacramento--Arden-Arcade--Roseville, CA","2,091,120","2,062,710","2,037,871","2,011,526","1,972,401","1,925,437","1,867,476","1,808,693","1,796,857","1,796,857"
40980,,"Saginaw-Saginaw Township North, MI","202,268","204,924","206,643","207,938","208,286","209,121","209,381","209,928","210,042","210,039"
41060,,"St. Cloud, MN","185,555","183,360","181,458","179,456","178,001","175,125","171,678","168,036","167,394","167,392"
41100,,"St. George, UT","133,791","127,310","119,224","110,372","104,324","99,467","94,636","91,259","90,354","90,354"
41140,,"St. Joseph, MO-KS","123,339","122,209","121,775","122,015","122,875","123,209","123,553","123,978","123,820","122,336"
41180,,"St. Louis, MO-IL","2,803,707","2,793,720","2,775,221","2,760,743","2,745,037","2,734,424","2,719,376","2,701,667","2,698,672","2,698,687"
41420,,"Salem, OR","386,714","379,862","372,837","367,589","363,250","358,836","352,784","348,253","347,218","347,214"
41500,,"Salinas, CA","407,637","406,188","408,777","411,879","412,670","410,720","407,768","403,181","401,764","401,762"
41540,,"Salisbury, MD","119,616","118,279","116,014","114,279","112,749","111,368","110,462","109,586","109,391","109,391"
41620,,"Salt Lake City, UT","1,099,973","1,077,924","1,048,693","1,021,599","1,008,385","1,003,505","989,764","972,734","968,883","968,858"
41660,,"San Angelo, TX","108,085","107,659","106,768","106,592","106,443","105,811","105,557","105,815","105,781","105,781"
41700,,"San Antonio, TX","1,990,675","1,936,750","1,882,785","1,847,636","1,810,903","1,779,168","1,744,550","1,719,409","1,711,721","1,711,703"
41740,,"San Diego-Carlsbad-San Marcos, CA","2,974,859","2,948,362","2,941,658","2,938,822","2,932,802","2,908,091","2,870,023","2,825,752","2,813,833","2,813,833"
41780,,"Sandusky, OH","77,323","77,536","77,840","78,411","78,501","78,666","79,233","79,604","79,551","79,551"
41860,,"San Francisco-Oakland-Fremont, CA","4,203,898","4,164,463","4,146,519","4,141,681","4,151,640","4,164,554","4,178,177","4,137,968","4,123,747","4,123,740"
41860,36084,".Oakland-Fremont-Hayward, CA","2,483,842","2,461,037","2,451,714","2,447,771","2,448,682","2,447,959","2,443,807","2,404,093","2,392,562","2,392,557"
41860,41884,".San Francisco-San Mateo-Redwood City, CA","1,720,056","1,703,426","1,694,805","1,693,910","1,702,958","1,716,595","1,734,370","1,733,875","1,731,185","1,731,183"
41940,,"San Jose-Sunnyvale-Santa Clara, CA","1,803,643","1,775,466","1,753,740","1,737,768","1,733,671","1,735,508","1,748,748","1,740,456","1,735,819","1,735,819"
42020,,"San Luis Obispo-Paso Robles, CA","262,436","260,197","258,200","256,603","254,598","253,164","251,604","247,884","246,681","246,681"
42060,,"Santa Barbara-Santa Maria-Goleta, CA","404,197","401,967","402,740","403,320","403,969","403,032","401,671","399,868","399,347","399,347"
42100,,"Santa Cruz-Watsonville, CA","251,747","250,523","250,360","251,548","252,387","254,263","255,901","255,876","255,600","255,602"
42140,,"Santa Fe, NM","142,955","141,091","139,576","138,099","136,519","134,563","131,635","129,829","129,287","129,292"
42220,,"Santa Rosa-Petaluma, CA","464,435","462,566","463,631","465,048","465,081","464,507","464,874","460,471","458,616","458,614"
42260,,"Sarasota-Bradenton-Venice, FL","687,181","680,500","668,961","649,670","631,848","618,781","605,070","592,685","589,963","589,959"
42340,,"Savannah, GA","329,329","321,490","314,395","310,450","304,992","301,625","297,022","293,678","293,299","293,000"
42540,,"Scranton--Wilkes-Barre, PA","549,430","548,646","548,750","549,222","550,637","552,585","555,714","559,524","560,627","560,625"
42660,,"Seattle-Tacoma-Bellevue, WA","3,309,347","3,262,445","3,205,444","3,168,144","3,142,875","3,125,074","3,096,590","3,052,808","3,043,885","3,043,878"
42660,42644,".Seattle-Bellevue-Everett, WA","2,536,182","2,498,775","2,455,609","2,425,434","2,405,475","2,395,556","2,379,419","2,348,812","2,343,067","2,343,058"
42660,45104,".Tacoma, WA","773,165","763,670","749,835","742,710","737,400","729,518","717,171","703,996","700,818","700,820"
42680,,"Sebastian-Vero Beach, FL","131,837","129,562","126,803","124,150","119,884","117,844","115,334","113,390","112,947","112,947"
43100,,"Sheboygan, WI","114,504","113,957","113,699","113,256","112,995","112,987","112,904","112,750","112,656","112,646"
43300,,"Sherman-Denison, TX","118,675","117,091","115,772","115,105","114,520","113,374","112,407","110,992","110,595","110,595"
43340,,"Shreveport-Bossier City, LA","387,583","387,183","381,729","379,701","376,993","376,263","375,982","376,140","375,968","375,965"
43580,,"Sioux City, IA-NE-SD","142,794","142,031","141,126","142,176","142,169","142,413","142,528","143,008","143,053","143,053"
43620,,"Sioux Falls, SD","227,171","221,636","214,823","208,789","202,761","197,544","193,234","188,310","187,093","187,093"
43780,,"South Bend-Mishawaka, IN-MI","316,639","316,159","315,907","315,870","315,722","316,394","316,731","316,967","316,661","316,663"
43900,,"Spartanburg, SC","275,534","269,902","265,669","262,872","260,972","259,117","256,766","254,415","253,782","253,791"
44060,,"Spokane, WA","456,175","447,392","440,488","435,099","430,771","427,051","422,876","418,827","417,939","417,939"
44100,,"Springfield, IL","206,588","205,894","205,139","204,723","204,425","203,958","202,778","201,585","201,440","201,437"
44140,,"Springfield, MA","682,657","683,233","683,898","684,531","684,705","682,749","679,444","680,482","680,014","680,014"
44180,,"Springfield, MO","420,020","410,619","400,755","392,992","385,694","379,770","374,769","369,778","368,374","368,374"
44220,,"Springfield, OH","140,477","141,239","141,651","141,643","141,960","143,440","143,936","144,661","144,738","144,742"
44300,,"State College, PA","144,658","144,205","141,807","141,313","140,740","139,440","136,919","135,925","135,758","135,758"
44700,,"Stockton, CA","670,990","664,615","657,665","643,565","627,132","609,628","591,590","568,075","563,596","563,598"
44940,,"Sumter, SC","103,943","104,094","104,849","105,228","104,884","104,902","104,236","104,657","104,636","104,646"
45060,,"Syracuse, NY","645,293","646,571","647,925","650,506","650,778","649,719","649,588","650,337","650,154","650,154"
45220,,"Tallahassee, FL","352,319","347,672","342,210","337,676","333,338","327,759","324,603","321,344","320,304","320,304"
45300,,"Tampa-St. Petersburg-Clearwater, FL","2,723,949","2,694,038","2,643,092","2,581,842","2,525,762","2,485,951","2,443,479","2,404,457","2,396,013","2,395,997"
45460,,"Terre Haute, IN","169,346","169,462","169,414","169,500","169,734","169,753","170,138","170,820","170,954","170,943"
45500,,"Texarkana, TX-Texarkana, AR","134,215","133,903","132,397","131,659","130,865","130,273","129,891","129,690","129,749","129,749"
45780,,"Toledo, OH","650,955","652,640","655,100","657,048","658,152","658,610","659,533","659,224","659,184","659,188"
45820,,"Topeka, KS","228,692","227,644","227,270","226,467","225,658","225,091","224,932","224,802","224,551","224,551"
45940,,"Trenton-Ewing, NJ","365,449","364,649","363,602","362,615","359,634","356,732","354,222","351,572","350,761","350,761"
46060,,"Tucson, AZ","967,089","948,704","927,084","907,296","890,592","877,666","861,437","848,676","843,746","843,746"
46140,,"Tulsa, OK","905,755","893,053","882,390","877,846","877,410","875,176","867,827","861,374","859,530","859,532"
46220,,"Tuscaloosa, AL","205,218","202,686","198,389","195,652","194,613","194,124","194,037","193,429","193,106","192,034"
46340,,"Tyler, TX","198,705","194,798","190,336","186,435","183,521","180,664","177,553","175,508","174,706","174,706"
46540,,"Utica-Rome, NY","294,862","294,804","295,510","296,509","296,382","296,807","297,866","299,600","299,896","299,896"
46660,,"Valdosta, GA","130,170","128,347","126,214","124,525","122,437","121,373","119,730","119,739","119,566","119,560"
46700,,"Vallejo-Fairfield, CA","408,599","408,323","408,243","409,671","409,351","408,496","404,141","396,999","394,542","394,542"
47020,,"Victoria, TX","113,797","112,708","112,359","112,597","112,427","112,262","112,338","111,644","111,666","111,663"
47220,,"Vineland-Millville-Bridgeton, NJ","155,544","154,175","152,538","150,629","148,783","147,634","146,678","146,362","146,434","146,438"
47260,,"Virginia Beach-Norfolk-Newport News, VA-NC","1,658,754","1,660,990","1,649,511","1,643,759","1,625,442","1,605,420","1,587,210","1,580,392","1,576,917","1,576,370"
47300,,"Visalia-Porterville, CA","421,553","413,755","406,491","397,260","388,082","379,417","373,134","368,744","368,021","368,021"
47380,,"Waco, TX","228,123","226,206","224,451","222,850","219,874","217,463","215,640","214,096","213,519","213,517"
47580,,"Warner Robins, GA","131,016","128,070","125,949","123,884","120,040","116,423","113,294","111,256","110,765","110,765"
47900,,"Washington-Arlington-Alexandria, DC-VA-MD-WV","5,306,565","5,260,705","5,222,696","5,155,998","5,086,203","5,015,705","4,928,146","4,821,934","4,796,063","4,796,183"
47900,13644,".Bethesda-Gaithersburg-Frederick, MD","1,155,518","1,147,280","1,140,459","1,132,425","1,124,869","1,113,430","1,094,811","1,074,222","1,068,617","1,068,618"
47900,47894,".Washington-Arlington-Alexandria, DC-VA-MD-WV","4,151,047","4,113,425","4,082,237","4,023,573","3,961,334","3,902,275","3,833,335","3,747,712","3,727,446","3,727,565"
47940,,"Waterloo-Cedar Falls, IA","163,329","163,191","162,468","162,100","161,776","162,245","163,353","163,649","163,707","163,706"
48140,,"Wausau, WI","129,958","129,079","127,818","126,962","126,611","126,486","126,276","125,908","125,834","125,834"
48260,,"Weirton-Steubenville, WV-OH","122,580","123,943","125,392","126,587","127,841","128,926","130,257","131,633","132,008","132,008"
48300,,"Wenatchee, WA","107,170","105,289","103,490","102,127","100,788","99,965","99,488","99,378","99,219","99,219"
48540,,"Wheeling, WV-OH","145,454","146,454","147,574","148,690","149,510","150,714","151,337","152,841","153,178","153,172"
48620,,"Wichita, KS","596,452","589,279","584,788","582,067","580,403","579,024","574,668","572,041","571,171","571,166"
48660,,"Wichita Falls, TX","148,148","149,455","149,902","151,134","150,835","150,354","150,148","151,585","151,524","151,524"
48700,,"Williamsport, PA","116,811","117,349","117,773","118,145","118,288","118,554","119,127","119,960","120,048","120,044"
48900,,"Wilmington, NC","339,511","329,175","316,687","304,332","294,474","288,295","281,737","275,853","274,550","274,532"
49020,,"Winchester, VA-WV","121,190","118,973","115,935","112,912","110,369","108,262","105,898","103,576","102,997","102,997"
49180,,"Winston-Salem, NC","463,159","455,043","446,732","440,101","435,670","432,858","428,313","423,393","421,960","421,961"
49340,,"Worcester, MA","781,352","779,567","777,238","774,726","772,350","767,835","761,105","752,705","749,973","750,963"
49420,,"Yakima, WA","233,062","230,840","228,819","227,626","225,431","223,760","222,993","222,752","222,578","222,581"
49620,,"York-Hanover, PA","421,049","414,505","406,515","399,466","393,584","388,875","385,362","382,725","381,751","381,751"
49660,,"Youngstown-Warren-Boardman, OH-PA","570,704","576,602","581,303","586,136","590,140","593,932","598,559","602,166","602,964","602,964"
49700,,"Yuba City, CA","164,138","160,441","155,049","150,359","147,766","144,353","141,363","139,471","139,149","139,149"
49740,,"Yuma, AZ","190,557","185,841","180,575","174,592","169,706","166,386","163,321","160,681","160,026","160,026"
,,,,,,,,,,,,
,,Micropolitan statistical areas,,,,,,,,,,
10020,,"Abbeville, LA","55,691","55,425","54,938","54,387","54,169","54,225","53,948","53,964","53,990","53,807"
10100,,"Aberdeen, SD","39,121","38,894","38,985","38,968","39,033","39,134","39,412","39,740","39,827","39,827"
10140,,"Aberdeen, WA","71,335","70,836","70,209","69,676","69,067","68,335","67,955","67,153","67,194","67,194"
10220,,"Ada, OK","36,571","35,864","35,506","35,292","35,193","35,043","34,932","35,165","35,143","35,143"
10300,,"Adrian, MI","101,243","101,372","101,075","101,019","100,545","100,220","99,601","99,079","98,947","98,890"
10460,,"Alamogordo, NM","63,129","62,770","63,330","63,407","62,335","61,578","61,415","62,225","62,298","62,298"
10540,,"Albany-Lebanon, OR","113,264","110,970","108,444","107,040","106,190","104,701","103,612","103,018","103,083","103,069"
10620,,"Albemarle, NC","59,195","58,592","58,432","58,235","58,395","58,451","58,516","58,164","58,100","58,100"
10660,,"Albert Lea, MN","31,257","31,396","31,540","31,818","31,929","31,989","32,442","32,546","32,584","32,584"
10700,,"Albertville, AL","87,644","86,422","85,050","84,012","83,507","82,894","82,184","82,332","82,231","82,231"
10760,,"Alexander City, AL","51,611","51,641","51,443","51,786","52,130","52,493","53,138","53,585","53,677","53,677"
10820,,"Alexandria, MN","36,075","35,546","35,180","34,619","34,172","33,658","33,247","32,915","32,821","32,821"
10860,,"Alice, TX","41,119","40,740","40,669","40,490","40,128","39,923","39,753","39,372","39,326","39,326"
10880,,"Allegan, MI","112,761","112,370","112,062","111,243","109,981","108,839","107,767","106,056","105,665","105,665"
10940,,"Alma, MI","42,141","42,206","42,036","42,198","42,207","42,179","42,316","42,316","42,285","42,285"
10980,,"Alpena, MI","29,707","29,814","30,186","30,494","30,649","30,854","31,131","31,280","31,314","31,314"
11060,,"Altus, OK","25,778","26,227","26,479","27,197","27,217","27,362","27,897","28,254","28,439","28,439"
11140,,"Americus, GA","36,655","36,514","36,348","36,542","36,814","36,902","37,015","37,040","36,966","36,966"
11220,,"Amsterdam, NY","48,695","48,809","48,711","48,821","48,972","49,030","49,350","49,656","49,708","49,708"
11380,,"Andrews, TX","13,140","12,890","12,713","12,774","12,801","12,879","12,764","12,915","13,004","13,004"
11420,,"Angola, IN","33,450","33,555","33,563","33,429","33,563","33,360","33,480","33,317","33,214","33,214"
11580,,"Arcadia, FL","34,675","34,514","34,301","34,294","33,574","32,696","32,609","32,275","32,209","32,209"
11620,,"Ardmore, OK","56,694","56,244","55,726","55,592","55,016","54,697","54,333","54,426","54,452","54,452"
11660,,"Arkadelphia, AR","23,585","23,478","23,201","23,230","23,293","23,548","23,654","23,513","23,546","23,546"
11740,,"Ashland, OH","54,902","54,387","54,016","53,657","53,487","53,066","52,832","52,583","52,523","52,523"
11780,,"Ashtabula, OH","101,141","101,500","102,090","102,306","102,502","102,636","102,678","102,747","102,728","102,728"
11820,,"Astoria, OR","37,364","37,021","36,543","36,132","35,824","35,632","35,549","35,572","35,630","35,630"
11860,,"Atchison, KS","16,571","16,633","16,607","16,730","16,709","16,714","16,800","16,766","16,774","16,774"
11900,,"Athens, OH","63,275","63,237","63,282","62,597","63,338","63,120","62,847","62,320","62,223","62,223"
11940,,"Athens, TN","52,131","51,628","51,069","50,484","50,267","50,047","49,784","49,171","49,010","49,015"
11980,,"Athens, TX","78,897","78,949","78,597","78,341","76,790","75,105","74,058","73,545","73,277","73,277"
12140,,"Auburn, IN","41,796","41,540","41,420","41,198","40,937","40,631","40,466","40,403","40,285","40,285"
12180,,"Auburn, NY","80,066","80,352","80,637","80,928","81,128","81,270","81,282","81,917","81,963","81,963"
12300,,"Augusta-Waterville, ME","120,839","120,594","120,244","119,802","119,201","118,463","117,980","117,217","117,114","117,114"
12380,,"Austin, MN","38,040","38,141","38,222","38,560","38,480","38,522","38,691","38,681","38,603","38,603"
12460,,"Bainbridge, GA","28,544","28,356","27,978","28,135","28,066","28,078","27,981","28,240","28,240","28,240"
12660,,"Baraboo, WI","58,477","57,953","57,457","56,935","56,288","55,815","55,414","55,343","55,225","55,225"
12740,,"Barre, VT","58,926","59,037","59,023","58,804","58,744","58,762","58,455","58,066","58,039","58,039"
12780,,"Bartlesville, OK","49,888","48,971","48,660","48,843","48,884","48,979","48,875","48,980","48,996","48,996"
12820,,"Bastrop, LA","28,783","29,274","29,440","29,962","30,272","30,368","30,631","30,962","31,021","31,021"
12860,,"Batavia, NY","58,122","58,418","58,795","59,169","59,559","59,684","59,905","60,329","60,370","60,370"
12900,,"Batesville, AR","34,566","34,450","34,300","34,289","34,129","34,148","34,166","34,275","34,233","34,233"
13060,,"Bay City, TX","37,024","37,122","37,383","37,613","37,854","37,813","37,915","37,950","37,957","37,957"
13100,,"Beatrice, NE","23,219","23,158","23,061","23,216","23,180","23,126","23,096","22,976","22,993","22,993"
13180,,"Beaver Dam, WI","87,786","87,902","87,212","87,236","86,801","86,535","86,240","86,006","85,898","85,897"
13220,,"Beckley, WV","79,170","78,708","78,651","78,690","78,644","78,887","78,344","79,054","79,220","79,220"
13260,,"Bedford, IN","46,033","45,892","45,982","45,906","46,018","45,961","45,928","45,931","45,922","45,922"
13300,,"Beeville, TX","32,689","32,494","32,481","32,661","32,872","31,985","31,821","32,253","32,359","32,359"
13340,,"Bellefontaine, OH","46,279","46,104","46,327","46,469","46,423","46,233","45,954","46,018","46,005","46,005"
13420,,"Bemidji, MN","43,609","43,158","42,718","42,111","41,660","41,068","40,433","39,800","39,650","39,650"
13500,,"Bennettsville, SC","28,819","28,954","27,606","28,112","28,290","28,481","28,550","28,799","28,818","28,818"
13540,,"Bennington, VT","36,452","36,583","36,552","36,743","36,842","36,965","36,911","36,980","36,994","36,994"
